Sample,Nucleotide,Timepoint,Plate,FileNumber
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,1,5,10
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,3,5,11
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,5,5,12
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,0,6,1
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,1,6,2
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,3,6,3
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,5,6,4
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,0,6,5
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,1,6,6
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,3,6,7
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,5,6,8
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,0,6,9
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,1,6,10
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,3,6,11
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,5,6,12
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,0,7,1
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,1,7,2
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,3,7,3
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,5,7,4
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,0,7,5
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,1,7,6
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,3,7,7
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,5,7,8
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,0,7,9
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,1,7,10
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,3,7,11
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,5,7,12
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,0,8,1
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,1,8,2
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,3,8,3
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,5,8,4
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,0,8,5
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,1,8,6
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,3,8,7
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,5,8,8
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,0,8,9
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,1,8,10
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,3,8,11
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,5,8,12
