,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,peak_area,peak_background_area,lane_background_area,all_id_peaks,peak_area_subtracted,fraction_intact
196,hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,5.0,20,9,nts-Eukaryote Total RNA Nano_2020-12-11_08-50-00_Sample9.csv,873.6830485473079,773.6830485473079,973.6830485473079,95.03809437358288,1293.5664083594495,625.5790318714285,2330.01798914295,[ 23.62262713 196.05745502 873.68304855],667.987376488021,0.2866876477351691
199,hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,0.0,21,2,nts-Eukaryote Total RNA Nano_2020-12-11_09-00-11_Sample2.csv,830.0331999975779,730.0331999975779,930.0331999975779,141.24053188507594,1635.6009543930556,211.86878498848154,1823.0326957060502,[ 23.47300349 830.0332    ],1423.732169404574,0.7809690812227428
201,hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,1.0,21,4,nts-Eukaryote Total RNA Nano_2020-12-11_09-00-11_Sample4.csv,823.6977825074913,723.6977825074913,923.6977825074913,141.03851509993234,1535.112293521237,208.99462949545205,1824.4081406396272,[ 23.47300349 823.69778251],1326.117664025785,0.7268755463680707
204,hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,3.0,21,7,nts-Eukaryote Total RNA Nano_2020-12-11_09-00-11_Sample7.csv,817.3977363335542,717.3977363335542,917.3977363335542,152.1972740708629,1277.0186744104612,283.385534715936,1955.659587794883,[ 23.47300349 318.97703834 817.39773633],993.6331396945252,0.5080808264872431
206,hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,5.0,21,9,nts-Eukaryote Total RNA Nano_2020-12-11_09-00-11_Sample9.csv,817.3977363335542,717.3977363335542,917.3977363335542,155.87961458743885,1077.476057784941,376.86639263931016,1926.6799195269136,[ 23.47300349 318.97703834 817.39773633],700.609665145631,0.3636357331827396
209,hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,0.0,22,2,nts-Eukaryote Total RNA Nano_2020-12-11_09-26-01_Sample2.csv,919.7853032668525,819.7853032668525,1019.7853032668525,61.274354700801645,2707.333406913058,414.1095490203678,2985.6890730431965,[ 23.82753413 919.78530327],2293.22385789269,0.7680718928831046
211,hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,1.0,22,4,nts-Eukaryote Total RNA Nano_2020-12-11_09-26-01_Sample4.csv,926.5367360231636,826.5367360231636,1026.5367360231635,63.05476908806465,1758.2921193952322,413.5641734174018,2284.701198780435,[ 23.82753413 926.53673602],1344.7279459778306,0.5885793497616413
214,hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,3.0,22,7,nts-Eukaryote Total RNA Nano_2020-12-11_09-26-01_Sample7.csv,926.5367360231636,826.5367360231636,1026.5367360231635,58.45319827579839,1588.3702924776558,643.1960441222933,2804.98871324695,[ 23.82753413 926.53673602],945.1742483553625,0.3369618722141895
216,hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,5.0,22,9,nts-Eukaryote Total RNA Nano_2020-12-11_09-26-01_Sample9.csv,919.7853032668525,819.7853032668525,1019.7853032668525,57.01652786157717,1166.5603571801996,653.951504978183,2615.1899922501375,[ 23.82753413 335.98553827 919.78530327],512.6088522020166,0.19601208849876425
219,hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,0.0,23,2,nts-Eukaryote Total RNA Nano_2020-12-11_09-39-16_Sample2.csv,826.6495969096487,726.6495969096487,926.6495969096487,125.06890116556204,1730.7393810982126,305.4548968460245,2047.245689966205,[ 23.62186383 826.64959691],1425.2844842521881,0.6961961093569166
221,hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,1.0,23,4,nts-Eukaryote Total RNA Nano_2020-12-11_09-39-16_Sample4.csv,820.2530008476617,720.2530008476617,920.2530008476617,124.15185543465387,1430.2427049179612,401.02420617775545,2006.7736788051118,[ 23.62186383 820.25300085],1029.2184987402056,0.5128722334812716
224,hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,3.0,23,7,nts-Eukaryote Total RNA Nano_2020-12-11_09-39-16_Sample7.csv,833.0820732889696,733.0820732889696,933.0820732889696,131.45658495341132,728.2109243033913,331.85992752964484,1641.2287234047158,[ 23.62186383 335.91123197 833.08207329],396.35099677374643,0.2414965026638819
226,hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,5.0,23,9,nts-Eukaryote Total RNA Nano_2020-12-11_09-39-16_Sample9.csv,820.2530008476617,720.2530008476617,920.2530008476617,128.8993788723401,711.4892019584469,408.836506983131,2162.2627959273304,[ 23.62186383 329.33027467 820.25300085],302.65269497531585,0.13997035676947728
229,hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,0.0,24,2,nts-Eukaryote Total RNA Nano_2020-12-11_09-53-14_Sample2.csv,859.1325527413005,759.1325527413005,959.1325527413005,92.20114661515302,1735.6982336961646,171.523302170287,1851.0051699395758,[ 23.6014075  859.13255274],1564.1749315258776,0.8450408226449948
231,hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,1.0,24,4,nts-Eukaryote Total RNA Nano_2020-12-11_09-53-14_Sample4.csv,852.5559228368347,752.5559228368347,952.5559228368347,95.85063141066571,1761.4233595733804,316.8507128335893,2166.400282576533,[ 23.6014075  852.55592284],1444.572646739791,0.6668078186463947
234,hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,3.0,24,7,nts-Eukaryote Total RNA Nano_2020-12-11_09-53-14_Sample7.csv,859.1325527413005,759.1325527413005,959.1325527413005,91.67263314203706,1875.7611684558478,532.5889935031664,2906.6830193952787,[ 23.6014075  349.40783775 859.13255274],1343.1721749526814,0.4620979191711526
236,hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,5.0,24,9,nts-Eukaryote Total RNA Nano_2020-12-11_09-53-14_Sample9.csv,865.7456301299608,765.7456301299608,965.7456301299608,87.41885986374378,896.0844887003594,355.57579191872526,1654.8045227418147,[ 23.6014075  352.83212362 865.74563013],540.5086967816342,0.3266299368617119
