Time,Value
35.5,0.476309
35.55,0.4814039
35.6,0.4832205
35.65,0.507
35.7,0.5245793
35.75,0.5260937
35.8,0.5167968
35.85,0.4998647
35.9,0.4868197
35.95,0.4685566
36,0.463392
36.05,0.4920219
36.1,0.5116428
36.15,0.5197147
36.2,0.5297201
36.25,0.5340198
36.3,0.5410439
36.35,0.5389559
36.4,0.5403958
36.45,0.5461839
36.5,0.5534738
36.55,0.5680375
36.6,0.5979813
36.65,0.62569
36.7,0.6318951
36.75,0.6264907
36.8,0.6019628
36.85,0.5904083
36.9,0.6283177
36.95,0.7077187
37,0.7816646
37.05,0.8292091
37.1,0.8464636
37.15,0.8536399
37.2,0.824492
37.25,0.7960083
37.3,0.7858207
37.35,0.7707936
37.4,0.7415349
37.45,0.7346483
37.5,0.7497373
37.55,0.7614506
37.6,0.7690082
37.65,0.9089904
37.7,1.420647
37.75,2.598023
37.8,4.433166
37.85,6.528115
37.9,8.513096
37.95,10.20887
38,11.54101
38.05,12.60541
38.1,13.33661
38.15,13.59749
38.2,13.19613
38.25,12.13629
38.3,10.74452
38.35,9.368514
38.4,8.120319
38.45,7.036376
38.5,6.031868
38.55,5.150354
38.6,4.427109
38.65,3.899463
38.7,3.505185
38.75,3.193422
38.8,2.914286
38.85,2.654892
38.9,2.442183
38.95,2.260113
39,2.11569
39.05,1.97825
39.1,1.817101
39.15,1.688208
39.2,1.607311
39.25,1.529587
39.3,1.461445
39.35,1.376783
39.4,1.292256
39.45,1.227961
39.5,1.167158
39.55,1.113554
39.6,1.089638
39.65,1.060768
39.7,1.032579
39.75,1.003724
39.8,0.9872662
39.85,0.965948
39.9,0.9293844
39.95,0.8968115
40,0.8550081
40.05,0.8318741
40.1,0.8317008
40.15,0.8683329
40.2,0.8974999
40.25,0.9353102
40.3,0.9378232
40.35,0.9238676
40.4,0.8941837
40.45,0.8856477
40.5,0.8767726
40.55,0.8857644
40.6,0.8725361
40.65,0.856238
40.7,0.8769568
40.75,0.9548064
40.8,1.005369
40.85,1.012921
40.9,0.9838509
40.95,0.9274704
41,0.8485099
41.05,0.8375836
41.1,0.8768963
41.15,0.9067655
41.2,0.9142715
41.25,0.9090649
41.3,0.9171935
41.35,0.9199261
41.4,0.9260941
41.45,0.9306083
41.5,0.9263822
41.55,0.9055302
41.6,0.8933965
41.65,0.8928217
41.7,0.8884611
41.75,0.8790767
41.8,0.870658
41.85,0.844157
41.9,0.834748
41.95,0.829871
42,0.8696252
42.05,0.8932743
42.1,0.9053324
42.15,0.9435221
42.2,0.9614086
42.25,0.977755
42.3,0.9962652
42.35,1.038198
42.4,1.049461
42.45,1.010672
42.5,0.9897993
42.55,1.020879
42.6,1.01559
42.65,1.045031
42.7,1.055322
42.75,1.058948
42.8,1.022547
42.85,1.01122
42.9,1.080649
42.95,1.170348
43,1.228875
43.05,1.324129
43.1,1.427886
43.15,1.581434
43.2,1.826152
43.25,2.210189
43.3,2.749793
43.35,3.339867
43.4,3.947218
43.45,4.561453
43.5,5.170692
43.55,5.788634
43.6,6.320354
43.65,6.8567
43.7,7.332465
43.75,7.736736
43.8,8.069739
43.85,8.302478
43.9,8.481298
43.95,8.584079
44,8.704432
44.05,8.854352
44.1,8.988153
44.15,9.175739
44.2,9.307688
44.25,9.395151
44.3,9.458451
44.35,9.396678
44.4,9.191657
44.45,8.784318
44.5,8.26458
44.55,7.603397
44.6,6.972992
44.65,6.367532
44.7,5.797319
44.75,5.162708
44.8,4.51647
44.85,3.956455
44.9,3.433676
44.95,2.985404
45,2.632578
45.05,2.307416
45.1,2.041628
45.15,1.838241
45.2,1.692856
45.25,1.631254
45.3,1.561036
45.35,1.479452
45.4,1.384886
45.45,1.302427
45.5,1.247439
45.55,1.213187
45.6,1.150894
45.65,1.081229
45.7,1.018715
45.75,0.9580597
45.8,0.9132599
45.85,0.9210599
45.9,0.9325519
45.95,0.9062575
46,0.8780063
46.05,0.8309906
46.1,0.8141906
46.15,0.7839833
46.2,0.7845514
46.25,0.7763309
46.3,0.7540196
46.35,0.7640573
46.4,0.7676374
46.45,0.7519678
46.5,0.7456392
46.55,0.7340823
46.6,0.7473041
46.65,0.738595
46.7,0.7656293
46.75,0.8018835
46.8,0.8421224
46.85,0.8712091
46.9,0.8812312
46.95,0.8937143
47,0.8958005
47.05,0.8882185
47.1,0.8926004
47.15,0.9183325
47.2,0.9492691
47.25,0.9582892
47.3,0.9778139
47.35,0.9454346
47.4,0.919917
47.45,0.9224632
47.5,0.9347956
47.55,0.981234
47.6,1.019556
47.65,1.059247
47.7,1.067693
47.75,1.057647
47.8,1.062046
47.85,1.044481
47.9,1.032202
47.95,1.020807
48,1.033581
48.05,1.09196
48.1,1.114653
48.15,1.130224
48.2,1.084582
48.25,1.056732
48.3,1.022298
48.35,1.008329
48.4,1.094113
48.45,1.15984
48.5,1.157899
48.55,1.180783
48.6,1.158212
48.65,1.130625
48.7,1.095677
48.75,1.111683
48.8,1.151965
48.85,1.174658
48.9,1.191907
48.95,1.161247
49,1.087501
49.05,1.064737
49.1,1.09804
49.15,1.148774
49.2,1.179791
49.25,1.205673
49.3,1.212981
49.35,1.165301
49.4,1.137999
49.45,1.165771
49.5,1.198373
49.55,1.234419
49.6,1.273588
49.65,1.329992
49.7,1.335915
49.75,1.31294
49.8,1.347532
49.85,1.383649
49.9,1.439428
49.95,1.478797
50,1.487255
50.05,1.513659
50.1,1.523879
50.15,1.560853
50.2,1.648839
50.25,1.72421
50.3,1.777981
50.35,1.825019
50.4,1.957578
50.45,2.104533
50.5,2.233776
50.55,2.332564
50.6,2.408417
50.65,2.466352
50.7,2.487737
50.75,2.558295
50.8,2.689852
50.85,2.79831
50.9,2.922511
50.95,3.052153
51,3.187043
51.05,3.331933
51.1,3.463461
51.15,3.66002
51.2,3.935435
51.25,4.203479
51.3,4.465383
51.35,4.632573
51.4,4.793877
51.45,4.899492
51.5,5.001781
51.55,5.126491
51.6,5.294408
51.65,5.484262
51.7,5.680025
51.75,5.928382
51.8,6.181878
51.85,6.310831
51.9,6.433721
51.95,6.526284
52,6.643297
52.05,6.79942
52.1,6.978549
52.15,7.172158
52.2,7.256554
52.25,7.28019
52.3,7.306931
52.35,7.328855
52.4,7.359245
52.45,7.419288
52.5,7.510608
52.55,7.555519
52.6,7.528541
52.65,7.526118
52.7,7.535882
52.75,7.517977
52.8,7.445385
52.85,7.338455
52.9,7.187042
52.95,6.946156
53,6.758469
53.05,6.645718
53.1,6.462792
53.15,6.256992
53.2,6.067038
53.25,5.811056
53.3,5.49559
53.35,5.179
53.4,4.934315
53.45,4.677988
53.5,4.43765
53.55,4.24134
53.6,3.98642
53.65,3.684559
53.7,3.409233
53.75,3.20523
53.8,3.007873
53.85,2.790519
53.9,2.546263
53.95,2.307213
54,2.117396
54.05,2.000805
54.1,1.938111
54.15,1.860242
54.2,1.739264
54.25,1.608246
54.3,1.485616
54.35,1.402072
54.4,1.324815
54.45,1.269526
54.5,1.221137
54.55,1.17745
54.6,1.171378
54.65,1.170991
54.7,1.16177
54.75,1.135084
54.8,1.090276
54.85,1.040049
54.9,0.9735391
54.95,0.92178
55,0.8892939
55.05,0.883193
55.1,0.9018719
55.15,0.9123574
55.2,0.9232534
55.25,0.9364909
55.3,0.9235847
55.35,0.9149361
55.4,0.8960514
55.45,0.8752778
55.5,0.8919235
55.55,0.9214432
55.6,0.9657112
55.65,0.9953907
55.7,0.9913133
55.75,0.9659844
55.8,0.9472231
55.85,0.9752985
55.9,1.034141
55.95,1.065139
56,1.07234
56.05,1.070946
56.1,1.04814
56.15,1.053954
56.2,1.134817
56.25,1.231371
56.3,1.308092
56.35,1.387818
56.4,1.450952
56.45,1.458756
56.5,1.409265
56.55,1.363598
56.6,1.37332
56.65,1.403264
56.7,1.447853
56.75,1.523794
56.8,1.593319
56.85,1.651039
56.9,1.727093
56.95,1.806969
57,1.847876
57.05,1.850108
57.1,1.852258
57.15,1.91442
57.2,2.036543
57.25,2.153184
57.3,2.213917
57.35,2.195937
57.4,2.130808
57.45,2.117434
57.5,2.217845
57.55,2.368355
57.6,2.48813
57.65,2.552291
57.7,2.57526
57.75,2.571192
57.8,2.570977
57.85,2.602333
57.9,2.681924
57.95,2.772052
58,2.860569
58.05,2.947353
58.1,3.073283
58.15,3.20168
58.2,3.254179
58.25,3.230146
58.3,3.230589
58.35,3.265296
58.4,3.357855
58.45,3.586081
58.5,3.826058
58.55,3.960922
58.6,4.011145
58.65,4.00598
58.7,3.994622
58.75,4.020527
58.8,4.103998
58.85,4.147093
58.9,4.105808
58.95,4.116182
59,4.196751
59.05,4.288455
59.1,4.419865
59.15,4.546649
59.2,4.614024
59.25,4.617361
59.3,4.653515
59.35,4.694074
59.4,4.683617
59.45,4.694545
59.5,4.680089
59.55,4.628923
59.6,4.603779
59.65,4.53873
59.7,4.500607
59.75,4.494762
59.8,4.515523
59.85,4.562545
59.9,4.603394
59.95,4.703019
60,4.739107
60.05,4.651308
60.1,4.485413
60.15,4.32592
60.2,4.234124
60.25,4.199491
60.3,4.211935
60.35,4.211107
60.4,4.17825
60.45,4.126561
60.5,4.099631
60.55,4.071694
60.6,4.071482
60.65,4.07545
60.7,3.980118
60.75,3.844986
60.8,3.754562
60.85,3.674738
60.9,3.623854
60.95,3.586421
61,3.553208
61.05,3.405838
61.1,3.201329
61.15,3.046067
61.2,2.917474
61.25,2.854622
61.3,2.846069
61.35,2.837553
