Time,Value
53.15,6.568553
53.2,6.254632
53.25,5.853172
53.3,5.422142
53.35,5.031212
53.4,4.671929
53.45,4.335362
53.5,4.028108
53.55,3.775932
53.6,3.461586
53.65,3.119782
53.7,2.827197
53.75,2.571437
53.8,2.33124
53.85,2.184773
53.9,2.078971
53.95,1.975235
54,1.875932
54.05,1.78104
54.1,1.72005
54.15,1.634504
54.2,1.585977
54.25,1.555054
54.3,1.477562
54.35,1.41383
54.4,1.302311
54.45,1.277265
54.5,1.232296
54.55,1.314087
54.6,1.419814
54.65,1.489545
54.7,1.529023
54.75,1.547023
54.8,1.515262
54.85,1.473899
54.9,1.440096
54.95,1.381563
55,1.291456
55.05,1.259685
55.1,1.275388
55.15,1.31447
55.2,1.358723
55.25,1.448464
55.3,1.507228
55.35,1.488906
55.4,1.423777
55.45,1.421491
55.5,1.433824
55.55,1.501546
55.6,1.5804
55.65,1.642065
55.7,1.693055
55.75,1.707363
55.8,1.691566
55.85,1.672015
55.9,1.68043
55.95,1.710567
56,1.705738
56.05,1.754849
56.1,1.830327
56.15,1.927154
56.2,2.00067
56.25,2.107941
56.3,2.210979
56.35,2.254222
56.4,2.244991
56.45,2.234458
56.5,2.271126
56.55,2.372071
56.6,2.549081
56.65,2.706514
56.7,2.778447
56.75,2.856615
56.8,2.890322
56.85,2.95396
56.9,3.027625
56.95,3.09057
57,3.15798
57.05,3.199754
57.1,3.323125
57.15,3.44991
57.2,3.585951
57.25,3.754822
57.3,3.875797
57.35,4.038033
57.4,4.212635
57.45,4.417915
57.5,4.581428
57.55,4.67122
57.6,4.793036
57.65,4.917643
57.7,4.996706
57.75,5.002737
57.8,5.04919
57.85,5.122759
57.9,5.182439
57.95,5.312609
58,5.50802
58.05,5.585782
58.1,5.686316
58.15,5.705294
58.2,5.745489
58.25,5.758886
58.3,5.838268
58.35,5.995718
58.4,6.136145
58.45,6.254185
58.5,6.337149
58.55,6.427485
58.6,6.484018
58.65,6.550623
58.7,6.587851
58.75,6.503214
58.8,6.476826
58.85,6.509286
58.9,6.502969
58.95,6.499946
59,6.443695
59.05,6.376983
59.1,6.381003
59.15,6.529373
59.2,6.712881
59.25,6.816251
59.3,6.787623
59.35,6.689692
59.4,6.585801
59.45,6.496299
59.5,6.397611
59.55,6.27495
59.6,6.202657
59.65,6.296616
59.7,6.299049
59.75,6.208246
59.8,5.963736
59.85,5.759399
59.9,5.693088
59.95,5.667532
60,5.664268
60.05,5.564074
60.1,5.338849
60.15,5.177285
60.2,5.110295
60.25,5.059073
60.3,4.897323
60.35,4.765159
60.4,4.671884
60.45,4.546395
60.5,4.430569
60.55,4.340541
60.6,4.216836
60.65,3.992646
60.7,3.813202
60.75,3.691877
60.8,3.622652
60.85,3.572008
60.9,3.489908
60.95,3.350067
61,3.171009
61.05,3.042692
61.1,2.96919
61.15,2.902107
61.2,2.817238
61.25,2.7309
61.3,2.579632
61.35,2.507454
61.4,2.493926
61.45,2.428277
61.5,2.318597
61.55,2.240118
61.6,2.189176
61.65,2.179223
61.7,2.135864
61.75,2.150362
61.8,2.104542
61.85,1.975239
61.9,1.848529
61.95,1.714649
62,1.620214
62.05,1.535083
62.1,1.546567
62.15,1.569054
62.2,1.515803
62.25,1.480453
62.3,1.448309
62.35,1.436261
62.4,1.387645
62.45,1.304016
62.5,1.2616
62.55,1.193776
62.6,1.123427
62.65,1.0756
62.7,1.03509
62.75,0.9713942
62.8,0.8992558
62.85,0.8571656
62.9,0.8131787
62.95,0.7788821
63,0.7822657
63.05,0.7922491
63.1,0.7701457
63.15,0.739351
63.2,0.7837304
63.25,0.7754024
63.3,0.7759067
63.35,0.8352114
63.4,0.8677714
63.45,0.8105748
63.5,0.713268
63.55,0.637378
63.6,0.5786518
63.65,0.5761134
63.7,0.6587588
63.75,0.7169524
63.8,0.7138769
63.85,0.6960261
63.9,0.6380115
63.95,0.6214715
64,0.5475706
64.05,0.5076448
64.1,0.4938703
64.15,0.4857912
64.2,0.5138405
64.25,0.5388391
64.3,0.5192528
64.35,0.4814766
64.4,0.4448508
64.45,0.4661486
64.5,0.4620041
64.55,0.4488474
64.6,0.4319594
64.65,0.4066425
64.7,0.3883234
64.75,0.4093967
64.8,0.4695008
64.85,0.5062453
64.9,0.5244573
64.95,0.5173159
65,0.4844836
65.05,0.4628502
65.1,0.4334972
65.15,0.4282992
65.2,0.4373123
65.25,0.4512199
65.3,0.4462916
65.35,0.4508512
65.4,0.4526502
65.45,0.4365045
65.5,0.432481
65.55,0.4223968
65.6,0.3884136
65.65,0.3541568
65.7,0.3463612
65.75,0.3552517
65.8,0.361353
65.85,0.3944821
65.9,0.3975773
65.95,0.4119385
66,0.4148868
66.05,0.4067814
66.1,0.3862925
66.15,0.3742752
66.2,0.3742752
66.25,0.3742752
66.3,0.3742752
66.35,0.3742752
66.4,0.3742752
66.45,0.3742752
66.5,0.3742752
66.55,0.3742752
66.6,0.3742752
66.65,0.3742752
66.7,0.3742752
66.75,0.3742752
66.8,0.3742752
66.85,0.3742752
66.9,0.3742752
66.95,0.3742752
67,0.3742752
67.05,0.3742752
67.1,0.3742752
67.15,0.3742752
67.2,0.3742752
67.25,0.3742752
67.3,0.3742752
67.35,0.3742752
67.4,0.3742752
67.45,0.3742752
67.5,0.3742752
67.55,0.3742752
67.6,0.3742752
67.65,0.3742752
67.7,0.3742752
67.75,0.3742752
67.8,0.3742752
67.85,0.3742752
67.9,0.3742752
67.95,0.3742752
68,0.3742752
68.05,0.3742752
68.1,0.3742752
68.15,0.3742752
68.2,0.3742752
68.25,0.3742752
68.3,0.3742752
68.35,0.3742752
68.4,0.3742752
68.45,0.3742752
68.5,0.3742752
68.55,0.3742752
68.6,0.3742752
68.65,0.3742752
68.7,0.3742752
68.75,0.3742752
68.8,0.3742752
68.85,0.3742752
68.9,0.3742752
68.95,0.3742752
69,0.3742752
69.05,0.3742752
69.1,0.3742752
69.15,0.3742752
69.2,0.3742752
69.25,0.3742752
69.3,0.3742752
69.35,0.3742752
69.4,0.3742752
69.45,0.3742752
69.5,0.3742752
69.55,0.3742752
69.6,0.3742752
69.65,0.3742752
69.7,0.3742752
69.75,0.3742752
69.8,0.3742752
69.85,0.3742752
69.9,0.3742752
69.95,0.3742752
