Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,3.000000,6,11, 0.25522, 0.18208,388.54376,252.06487,96.37317,40.10571,45.89530
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,5.000000,6,12, 0.14529, 0.10365,412.80483,267.20985,93.47388,52.12110,27.69710
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,0.000000,7,1, 1.00000, 0.68748,353.38864,225.55334,80.24869,47.58661,155.06447
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,1.000000,7,2, 0.77069, 0.52984,798.81637,598.55271,75.37083,124.89283,317.13748
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,3.000000,7,3, 0.46832, 0.32196,450.31134,317.24908,79.63028,53.43199,102.14162
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,5.000000,7,4, 0.31872, 0.21911,409.23096,288.30031,74.22345,46.70721,63.17080
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,0.000000,7,5, 1.00000, 0.73564,373.63570,260.52047,72.17498,40.94025,191.65030
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,1.000000,7,6, 0.66809, 0.49147,457.93178,331.33282,74.67873,51.92023,162.84143
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,3.000000,7,7, 0.44605, 0.32814,451.15034,331.73412,68.53624,50.87998,108.85364
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,5.000000,7,8, 0.26718, 0.19655,436.31761,325.71504,65.43284,45.16972,64.02008
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,0.000000,7,9, 1.00000, 0.67187,367.32414,257.30664,64.48091,45.53659,172.87647
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,1.000000,7,10, 0.70456, 0.47337,429.37477,309.63344,62.74088,57.00045,146.57191
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,3.000000,7,11, 0.41514, 0.27892,358.89384,254.15624,61.20093,43.53667,70.88959
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,5.000000,7,12, 0.29863, 0.20064,262.92389,172.98785,60.69943,29.23661,34.70847
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,0.000000,8,1, 1.00000, 0.63685,472.54018,337.36335,97.27438,37.90244,214.84862
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,1.000000,8,2, 0.72761, 0.46337,489.01936,338.26635,98.03547,52.71753,156.74368
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,3.000000,8,3, 0.42721, 0.27207,469.25066,322.29983,93.80216,53.14867,87.68762
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,5.000000,8,4, 0.24203, 0.15413,313.63458,193.88777,91.62379,28.12302,29.88467
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,0.000000,8,5, 1.00000, 0.58029,609.63783,467.90417,92.08093,49.65273,271.52162
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,1.000000,8,6, 0.65357, 0.37926,474.52613,330.61096,92.06347,51.85169,125.38842
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,3.000000,8,7, 0.32698, 0.18974,399.80319,275.45486,81.12772,43.22062,52.26520
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,5.000000,8,8, 0.14362, 0.08334,515.86267,374.27367,82.24095,59.34805,31.19265
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,0.000000,8,9, 1.00000, 0.71516,594.72925,453.92467,78.71205,62.09253,324.62889
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,1.000000,8,10, 0.68196, 0.48771,474.02368,344.85906,74.29040,54.87422,168.19067
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,3.000000,8,11, 0.45245, 0.32358,445.07358,321.09321,73.03674,50.94362,103.89809
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,5.000000,8,12, 0.30189, 0.21590,476.66626,355.26492,70.74352,50.65782,76.70193
