Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
CoV-2-TTG-TTGfull-dSL1-3_Nluc_start_DEN2-natural,natural,5.000000,4,5, 0.00041, 0.00167,923.84553,750.37480,91.78034,81.69039, 1.25572
CoV-2-TTG-TTGfull-dSL1-3_Nluc_start_DEN2-PSU,PSU,0.000000,4,6, 1.00000, 4.66324,363.52337,192.34186,88.26009,82.92142,896.93691
CoV-2-TTG-TTGfull-dSL1-3_Nluc_start_DEN2-PSU,PSU,1.000000,4,7, 0.08370, 0.39033,856.22968,652.47744,85.28105,118.47120,254.68254
CoV-2-TTG-TTGfull-dSL1-3_Nluc_start_DEN2-PSU,PSU,3.000000,4,8, 0.01022, 0.04765,840.57310,683.03135,84.68894,72.85282,32.54903
CoV-2-TTG-TTGfull-dSL1-3_Nluc_start_DEN2-PSU,PSU,5.000000,4,9, 0.00298, 0.01390,1234.27361,1048.07605,82.71499,103.48256,14.56526
C3_LinearDesign-1_SINV_URE-natural,natural,0.000000,5,2, 1.00000, 0.64480,530.38917,394.99622,74.79408,60.59886,254.69230
C3_LinearDesign-1_SINV_URE-natural,natural,1.000000,5,3, 0.56213, 0.36246,555.17212,403.47244,73.35126,78.34842,146.24352
C3_LinearDesign-1_SINV_URE-natural,natural,3.000000,5,4, 0.20594, 0.13279,580.72831,428.42324,70.30843,81.99664,56.89020
C3_LinearDesign-1_SINV_URE-natural,natural,5.000000,5,5, 0.11607, 0.07484,567.62050,429.68237,70.56408,67.37405,32.15826
C3_LinearDesign-1_SINV_URE-PSU,PSU,0.000000,5,6, 1.00000, 0.74510,659.06281,533.83768,69.83856,55.38657,397.76290
C3_LinearDesign-1_SINV_URE-PSU,PSU,1.000000,5,7, 0.81010, 0.60361,653.37714,498.51434,66.39289,88.46991,300.90579
C3_LinearDesign-1_SINV_URE-PSU,PSU,3.000000,5,8, 0.55440, 0.41308,647.44037,501.82861,62.92583,82.68593,207.29674
C3_LinearDesign-1_SINV_URE-PSU,PSU,5.000000,5,9, 0.43150, 0.32151,446.63420,341.77158,62.29451,42.56811,109.88277
C3_Nluc_start_SINV_URE-natural,natural,0.000000,6,2, 1.00000, 0.69834,863.14244,702.52316,114.05278,46.56649,490.60011
C3_Nluc_start_SINV_URE-natural,natural,1.000000,6,3, 0.20970, 0.14644,689.13894,489.55248,112.59043,86.99603,71.68992
C3_Nluc_start_SINV_URE-natural,natural,3.000000,6,4, 0.01927, 0.01345,810.39207,595.67285,108.62872,106.09050, 8.01447
C3_Nluc_start_SINV_URE-natural,natural,5.000000,6,5, 0.00612, 0.00427,758.06273,554.37327,108.32916,95.36031, 2.36781
C3_Nluc_start_SINV_URE-PSU,PSU,0.000000,6,6, 1.00000, 0.79284,1467.54453,1262.93981,106.47863,98.12610,1001.31184
C3_Nluc_start_SINV_URE-PSU,PSU,1.000000,6,7, 0.57797, 0.45824,986.69545,807.01028,93.81510,85.87008,369.80135
C3_Nluc_start_SINV_URE-PSU,PSU,3.000000,6,8, 0.23975, 0.19008,1098.02103,905.86326,93.35675,98.80103,172.18776
C3_Nluc_start_SINV_URE-PSU,PSU,5.000000,6,9, 0.12623, 0.10008,1013.77303,809.51885,89.77350,114.48068,81.01676
hHBB_Yellowstone_hHBB-natural,natural,0.000000,7,1, 1.00000, 0.72308,681.20006,549.18957,96.88066,35.12984,397.10884
hHBB_Yellowstone_hHBB-natural,natural,1.000000,7,2, 0.32801, 0.23718,656.96614,507.24943,97.56888,52.14782,120.30759
hHBB_Yellowstone_hHBB-natural,natural,3.000000,7,3, 0.06931, 0.05011,586.96486,445.87886,99.63978,41.44622,22.34445
hHBB_Yellowstone_hHBB-natural,natural,5.000000,7,4, 0.02326, 0.01682,729.59939,568.36986,96.48173,64.74780, 9.55821
hHBB_Curevac_2_hHBB-natural,natural,0.000000,7,5, 1.00000, 0.79809,944.87384,796.03131,97.05208,51.79046,635.30582
hHBB_Curevac_2_hHBB-natural,natural,1.000000,7,6, 0.37066, 0.29582,838.89090,687.08000,96.83432,54.97658,203.25121
hHBB_Curevac_2_hHBB-natural,natural,3.000000,7,7, 0.09575, 0.07642,734.43637,588.17496,91.28742,54.97399,44.94733
hHBB_Curevac_2_hHBB-natural,natural,5.000000,7,8, 0.03300, 0.02634,785.18126,624.51081,89.72363,70.94683,16.44795
hHBB_LocalDesign_hHBB-natural,natural,0.000000,7,9, 1.00000, 0.52035,525.59642,376.79559,88.91984,59.88099,196.06453
hHBB_LocalDesign_hHBB-natural,natural,1.000000,7,10, 0.36757, 0.19126,493.72300,348.29063,85.54667,59.88571,66.61539
hHBB_LocalDesign_hHBB-natural,natural,3.000000,7,11, 0.09685, 0.05040,409.55431,274.63819,85.41768,49.49844,13.84127
hHBB_LocalDesign_hHBB-natural,natural,5.000000,7,12, 0.03126, 0.01627,531.22914,377.26138,83.33670,70.63106, 6.13634
hHBB_-423.7 kCal_hHBB-natural,natural,0.000000,8,1, 1.00000, 0.62663,715.19625,536.44427,102.57470,76.17728,336.15409
hHBB_-423.7 kCal_hHBB-natural,natural,1.000000,8,2, 0.34549, 0.21649,854.85512,660.96865,100.60926,93.27721,143.09524
hHBB_-423.7 kCal_hHBB-natural,natural,3.000000,8,3, 0.07651, 0.04795,800.80858,605.21294,100.94166,94.65397,29.01720
hHBB_-423.7 kCal_hHBB-natural,natural,5.000000,8,4, 0.01497, 0.00938,710.13721,532.62978,98.05181,79.45562, 4.99785
CoV-2-TTG-TTGfull-dSL1-3_Yellowstone_DEN2-natural,natural,0.000000,8,5, 1.00000, 2.58361,462.27308,242.39423,99.04647,120.83239,626.25215
CoV-2-TTG-TTGfull-dSL1-3_Yellowstone_DEN2-natural,natural,1.000000,8,6, 0.06289, 0.16247,844.27936,644.99345,99.96889,99.31703,104.79399
CoV-2-TTG-TTGfull-dSL1-3_Yellowstone_DEN2-natural,natural,3.000000,8,7, 0.00397, 0.01025,1067.54409,869.80198,92.61712,105.12499, 8.91150
CoV-2-TTG-TTGfull-dSL1-3_Yellowstone_DEN2-natural,natural,5.000000,8,8, 0.00062, 0.00160,1667.61115,1405.85244,92.11030,169.64841, 2.25008
CoV-2-TTG-TTGfull-dSL1-3_Curevac_2_DEN2-natural,natural,0.000000,8,9, 1.00000, 3.20638,769.44157,445.74988,88.38453,235.30716,1429.24322
CoV-2-TTG-TTGfull-dSL1-3_Curevac_2_DEN2-natural,natural,1.000000,8,10, 0.06778, 0.21733,1195.61749,958.79185,83.48381,153.34184,208.37787
CoV-2-TTG-TTGfull-dSL1-3_Curevac_2_DEN2-natural,natural,3.000000,8,11, 0.00220, 0.00705,1746.31866,1476.12008,81.29938,188.89920,10.40978
CoV-2-TTG-TTGfull-dSL1-3_Curevac_2_DEN2-natural,natural,5.000000,8,12, 0.00034, 0.00108,1190.67836,993.87969,82.60384,114.19483, 1.07509
CoV-2-TTG-TTGfull-dSL1-3_LocalDesign_DEN2-natural,natural,0.000000,9,1, 1.00000, 2.75992,321.67152,175.98506,85.22168,60.46478,485.70548
CoV-2-TTG-TTGfull-dSL1-3_LocalDesign_DEN2-natural,natural,1.000000,9,2, 0.09234, 0.25486,619.81476,469.11217,87.77094,62.93166,119.55998
CoV-2-TTG-TTGfull-dSL1-3_LocalDesign_DEN2-natural,natural,3.000000,9,3, 0.00699, 0.01929,1113.82856,953.69557,86.97850,73.15449,18.39975
CoV-2-TTG-TTGfull-dSL1-3_LocalDesign_DEN2-natural,natural,5.000000,9,4, 0.00080, 0.00221,880.64837,711.84667,85.83401,82.96769, 1.57006
CoV-2-TTG-TTGfull-dSL1-3_-423.7 kCal_DEN2-natural,natural,0.000000,9,5, 1.00000, 1.19363,510.05680,371.86937,84.94093,53.24650,443.87548
CoV-2-TTG-TTGfull-dSL1-3_-423.7 kCal_DEN2-natural,natural,1.000000,9,6, 0.13524, 0.16143,755.32902,613.43586,86.39374,55.49941,99.02509
CoV-2-TTG-TTGfull-dSL1-3_-423.7 kCal_DEN2-natural,natural,3.000000,9,7, 0.01096, 0.01308,685.76280,539.28581,77.52145,68.95554, 7.05567
CoV-2-TTG-TTGfull-dSL1-3_-423.7 kCal_DEN2-natural,natural,5.000000,9,8, 0.00148, 0.00177,1001.56462,851.03059,77.21587,73.31816, 1.50830
C3_Yellowstone_SINV_URE-natural,natural,0.000000,9,9, 1.00000, 0.60491,478.97857,363.27873,73.39031,42.30953,219.75130
