,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,background_area,total_area,subtracted_area,normalized_area
18,RNA-1,5mC,18.0,2,7,Eukaryote Total RNA Nano_2020-10-21_16-14-00_7_nts.csv,[23.19126839],-76.80873161109594,123.19126838890406,374.36513769363637,147.0249188271283,254.94066589536789,107.9157470682396,0.2882633456017825
19,RNA-1,5mC,24.0,2,8,Eukaryote Total RNA Nano_2020-10-21_16-14-00_8_nts.csv,[23.19126839],-76.80873161109594,123.19126838890406,356.97242725612995,180.37831058634498,285.97893940067513,105.60062881433015,0.2958229284710582
20,RNA-1,PSU,0.0,6,11,Eukaryote Total RNA Nano_2020-10-21_17-06-53_11_nts.csv,[ 23.46689634 854.67889417],754.6788941656372,954.6788941656372,146.5740400781759,176.323537380258,2475.063942565303,2298.740405185045,15.683134639387724
21,RNA-1,PSU,0.5,6,12,Eukaryote Total RNA Nano_2020-10-21_17-06-53_12_nts.csv,[ 23.46689634 854.67889417],754.6788941656372,954.6788941656372,203.76899468026778,293.48727746784675,2421.6665665188725,2128.179289051026,10.444078071790727
22,RNA-1,PSU,1.0,7,1,Eukaryote Total RNA Nano_2020-10-21_17-37-08_1_nts.csv,[ 23.72265504 880.27169363],780.271693633435,980.271693633435,189.50521463409305,313.9582985575201,1994.4585608969765,1680.5002623394564,8.86783123928414
23,RNA-1,PSU,1.5,7,2,Eukaryote Total RNA Nano_2020-10-21_17-37-08_2_nts.csv,[ 23.72265504 880.27169363],780.271693633435,980.271693633435,206.3080092937722,329.5957649982217,1739.7529760489347,1410.157211050713,6.835203421708753
24,RNA-1,PSU,2.0,7,3,Eukaryote Total RNA Nano_2020-10-21_17-37-08_3_nts.csv,[ 23.72265504 880.27169363],780.271693633435,980.271693633435,210.8833634255441,375.3821965234689,1551.3041208364816,1175.9219243130128,5.576172084945865
25,RNA-1,PSU,3.0,7,4,Eukaryote Total RNA Nano_2020-10-21_17-37-08_4_nts.csv,[ 23.72265504 874.54166208],774.5416620846607,974.5416620846607,278.44338187807296,434.81618818591284,1447.606795582659,1012.7906073967463,3.637330507069603
26,RNA-1,PSU,4.0,7,5,Eukaryote Total RNA Nano_2020-10-21_17-37-08_5_nts.csv,[ 23.72265504 880.27169363],780.271693633435,980.271693633435,309.2502564474428,423.52165048450286,1121.6706087316595,698.1489582471567,2.2575533688063647
27,RNA-1,PSU,5.0,7,6,Eukaryote Total RNA Nano_2020-10-21_17-37-08_6_nts.csv,[ 23.72265504 880.27169363],780.271693633435,980.271693633435,336.58592213870253,386.3178108193274,946.6256080128169,560.3077971934895,1.6646798345968676
28,RNA-1,PSU,18.0,7,7,Eukaryote Total RNA Nano_2020-10-21_17-37-08_7_nts.csv,[23.72265504],-76.27734495517052,123.72265504482948,497.370170492532,122.25528193095047,240.80518194312424,118.54990001217377,0.238353457938133
29,RNA-1,PSU,24.0,7,8,Eukaryote Total RNA Nano_2020-10-21_17-37-08_8_nts.csv,[23.72265504],-76.27734495517052,123.72265504482948,473.7089573934281,138.10750949041014,256.6238795017621,118.51637001135194,0.25018815490314
30,RNA-2,5mC,0.0,9,6,Eukaryote Total RNA Nano_2020-10-22_10-58-16_6_nts.csv,[ 23.3095643 966.5429956],866.5429956037441,1066.5429956037442,120.72153561985266,188.69406873863397,526.892245059149,338.198176320515,2.8014734453468826
31,RNA-2,5mC,0.5,2,9,Eukaryote Total RNA Nano_2020-10-21_16-14-00_9_nts.csv,[ 23.19126839 972.78583023],872.7858302294657,1072.7858302294658,113.75894144045024,207.6086504687593,796.533622559085,588.9249720903257,5.176955451880784
32,RNA-2,5mC,1.0,2,11,Eukaryote Total RNA Nano_2020-10-21_16-14-00_11_nts.csv,[ 23.19126839 966.53916236],866.5391623629394,1066.5391623629394,149.45023009829444,333.5220638060482,829.5947927215452,496.072728915497,3.319317264277389
33,RNA-2,5mC,1.5,2,12,Eukaryote Total RNA Nano_2020-10-21_16-14-00_12_nts.csv,[ 23.19126839 972.78583023],872.7858302294657,1072.7858302294658,123.30173838474091,312.38420505634144,677.7774183941826,365.3932133378412,2.96340682722329
34,RNA-2,5mC,2.0,3,1,Eukaryote Total RNA Nano_2020-10-21_16-34-50_1_nts.csv,[ 23.20820135 972.88762911],872.8876291086406,1072.8876291086406,145.56110671672363,370.88885767452604,722.2265643482847,351.33770667375865,2.4136784516038112
35,RNA-2,5mC,3.0,3,2,Eukaryote Total RNA Nano_2020-10-21_16-34-50_2_nts.csv,[ 23.20820135 972.88762911],872.8876291086406,1072.8876291086406,191.04589879503973,442.22523096864023,741.1373069497988,298.9120759811586,1.5646087032825615
36,RNA-2,5mC,4.0,3,3,Eukaryote Total RNA Nano_2020-10-21_16-34-50_3_nts.csv,[ 23.20820135 972.88762911],872.8876291086406,1072.8876291086406,201.0038865704921,506.8969787381611,751.4329898711568,244.53601113299567,1.2165735464385503
37,RNA-2,5mC,5.0,3,4,Eukaryote Total RNA Nano_2020-10-21_16-34-50_4_nts.csv,[ 23.20820135 972.88762911],872.8876291086406,1072.8876291086406,169.2522393585859,469.5036982320914,673.8826412604222,204.37894302833087,1.2075405548716187
38,RNA-2,5mC,18.0,3,5,Eukaryote Total RNA Nano_2020-10-21_16-34-50_5_nts.csv,[ 23.20820135 718.3817379 ],618.3817379021698,818.3817379021698,214.60019778536912,509.663147023344,802.6889013372162,293.0257543138722,1.3654496004096877
39,RNA-2,5mC,24.0,3,6,Eukaryote Total RNA Nano_2020-10-21_16-34-50_6_nts.csv,[ 23.20820135 713.26011184],613.2601118398602,813.2601118398602,246.2838682619122,538.1505580782618,909.9927259503523,371.8421678720905,1.5098113022841289
40,RNA-2,PSU,0.0,7,9,Eukaryote Total RNA Nano_2020-10-21_17-37-08_9_nts.csv,[ 23.72265504 909.2476468 ],809.247646800811,1009.247646800811,166.6025329496292,210.06524706290435,1611.3863153036361,1401.3210682407318,8.411163044348244
41,RNA-2,PSU,0.5,7,10,Eukaryote Total RNA Nano_2020-10-21_17-37-08_10_nts.csv,[ 23.72265504 909.2476468 ],809.247646800811,1009.247646800811,188.8101605146801,268.7028792224033,1838.7030782603242,1570.000199037921,8.31523152545518
42,RNA-2,PSU,1.0,7,11,Eukaryote Total RNA Nano_2020-10-21_17-37-08_11_nts.csv,[ 23.72265504 897.59197602],797.5919760240203,997.5919760240203,183.17729855001735,284.02562940247043,1766.2268696992178,1482.2012402967473,8.09162080688741
43,RNA-2,PSU,1.5,7,12,Eukaryote Total RNA Nano_2020-10-21_17-37-08_12_nts.csv,[ 23.72265504 903.40890801],803.4089080127372,1003.4089080127372,177.84959928047613,375.6703170841534,1771.1453684949113,1395.475051410758,7.846377259529477
